date,dz_m
04-23-1937 13:06:06.000000,0.0
04-23-1937 13:06:08.000000,3.350000000000011e-05
04-23-1937 13:06:10.000000,0.00016750000000000011
04-23-1937 13:06:12.000000,0.0006364000000000001
04-23-1937 13:06:14.000000,0.0012727999999999997
04-23-1937 13:06:16.000000,0.0026126
04-23-1937 13:06:18.000000,0.0043543
04-23-1937 13:06:20.000000,0.0058951
04-23-1937 13:06:22.000000,0.007033899999999999
04-23-1937 13:06:24.000000,0.0072683999999999995
04-23-1937 13:06:26.000000,0.0069669
04-23-1937 13:06:28.000000,0.0065985
04-23-1937 13:06:30.000000,0.006029100000000001
04-23-1937 13:06:32.000000,0.005258700000000002
04-23-1937 13:06:34.000000,0.0039188999999999995
04-23-1937 13:06:36.000000,0.0025121
04-23-1937 13:06:38.000000,0.0012393000000000005
04-23-1937 13:06:40.000000,-0.000134
04-23-1937 13:06:42.000000,-0.0010718
04-23-1937 13:06:44.000000,-0.0015073
04-23-1937 13:06:46.000000,-0.00184221
04-23-1937 13:06:48.000000,-0.00200968
04-23-1937 13:06:50.000000,-0.00227764
04-23-1937 13:06:52.000000,-0.00237813
04-23-1937 13:06:54.000000,-0.0025456
